User,Stable_diffusion_prompt
Stable diffusion prompt for A frustrated businessman,"A frustrated businessman, in a modern office, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for A businessman in the office,"A businessman, in the office, with professional lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Sad samurai,"Sad samurai, lonely, standing in a bamboo forest, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Akira Toriyama and Hayao Miyazaki"
Stable diffusion prompt for A samurai cutting trees,"Samurai, fierce, cutting trees, in a serene bamboo forest, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Akira Toriyama and Hayao Miyazaki"
Stable diffusion prompt for A beautiful girl,"A beautiful girl, standing gracefully, in a serene garden, with ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for A girl in the forest,"A girl, in the forest, with creative lighting style, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for An african woman drawn in the style of Akira Toriyama.,"An african woman, drawn in the style of Akira Toriyama, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama."
Stable diffusion prompt for Tree leaves blowing in the wind,"Tree leaves blowing in the wind, vibrant, captured in a serene forest, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A dying plant,"A dying plant, wilted, in a sunlit room, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A pensive man sitting alone in the woods,"A pensive man, sitting alone, in the woods, with mystical lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for A pensive woman,"A pensive woman, in a mystical forest, with vibrant lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for Dancing woman,"Dancing woman, graceful, in a moonlit forest, vibrant and dreamy, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Hirohiko Araki"
Stable diffusion prompt for A couple dancing together in the disco,"A couple, dancing, in a disco, with vibrant neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Osamu Tezuka and Hayao Miyazaki."
Stable diffusion prompt for A little girl playing in the sand,"A little girl, playing, in the sand, with warm sunlight, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for Luxury car,"Luxury car, sleek, cruising on a moonlit road, in a futuristic city, with vibrant neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Luxury car driving fast,"Luxury car, fast, driving, in a city at night, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A luxury car driving fast into the sunset,"Luxury car, fast, driving, into the sunset, warm lighting style, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for An elegant bird flying,"An elegant bird, flying, in a serene forest, with ethereal lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Hiroshi Yoshida"
Stable diffusion prompt for Little boy complaining,"Little boy, complaining, in a park, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai."
Stable diffusion prompt for An italian woman drawn in the style of Eiichiro oda,"An Italian woman, drawn in the style of Eiichiro Oda, detailed, anime style, 90s anime style, trending on ArtStation."
Stable diffusion prompt for Gangster fleeing the police,"Gangster, fleeing, in a city at night, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hirohiko Araki and Hayao Miyazaki"
Stable diffusion prompt for A mother arguing with her son,"A mother, arguing, in a living room, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Osamu Tezuka and Hayao Miyazaki."
Stable diffusion prompt for Attractive woman drawn in the style of Hajima Yatate and Sayo Yamamoto,"Attractive woman, drawn in the style of Hajima Yatate and Sayo Yamamoto, detailed, anime style, 90s anime style, trending on ArtStation."
Stable diffusion prompt for Moroccan village,"Moroccan village, vibrant, with people bustling about, in the golden hour light, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for Japanese city at night,"Japanese city at night, vibrant, bustling with activity, in a futuristic cyberpunk setting, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Masamune Shirow"
Stable diffusion prompt for Rainy city at dawn,"Rainy city at dawn, serene, illuminated by neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Makoto Shinkai"
Stable diffusion prompt for Stormy city,"Stormy city, atmospheric, illuminated by neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai"
Stable diffusion prompt for A big city skyline at night,"A big city skyline, illuminated by neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for A big city skyline,"A big city skyline, majestic, illuminated by neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Spaceship taking off,"Spaceship, taking off, in outer space, with vibrant neon lights, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Takashi Murakami"
Stable diffusion prompt for A haitian woman,"A Haitian woman, elegant, posing for a photoshoot, in a vibrant tropical garden, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama."
Stable diffusion prompt for An upholstered couch,"An upholstered couch, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
Stable diffusion prompt for Two warriors battling,"Two warriors, battling, in a mystical forest, with vibrant colors, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Akira Toriyama."
Stable diffusion prompt for A flat-screen television,"A flat-screen television, sleek, displaying vibrant colors, in a modern living room, with dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Hayao Miyazaki and Katsushika Hokusai."
Stable diffusion prompt for A gun,"A gun, powerful, in a dimly lit warehouse, dramatic lighting, detailed, anime style, 90s anime style, trending on ArtStation, in the style of Toshihiro Kawamoto and Akira Toriyama"
